Country,Population,Region,Users
Aland,"29,789",Europe,1
Albania,"3,088,385",Europe,57
Algeria,"43,576,691",Africa,10
Andorra,"85,645",Europe,6
Argentina,"45,864,941",South America,11
Armenia,"3,011,609",Asia,16
Australia,"25,809,973",Oceania,717
Austria,"8,884,864",Europe,3276
Azerbaijan,"10,282,283",Asia,19
Bahamas,"352,655",North America,23
Belarus,"9,441,842",Europe,107
Belgium,"11,778,842",Europe,173
Bhutan,"857,423",Asia,1
Bolivia,"11,758,869",South America,21
Bosnia and Herzegovina,"3,824,782",Europe,11
Brazil,"213,445,417",South America,298
Bulgaria,"6,919,180",Europe,81
Burkina Faso,"21,382,659",Africa,4
Cambodia,"17,304,363",Southeast Asia,4
Canada,"37,943,231",North America,404
Chile,"18,307,925",South America,20
China,"1,397,897,720",Asia,74
Colombia,"50,355,650",South America,18
Costa Rica,"5,151,140",North America,1
Croatia,"4,208,973",Europe,34
Cyprus,"1,281,506",Middle East,35
Czechia,"10,702,596",Europe,219
Denmark,"5,894,687",Europe,189
Egypt,"106,437,241",Middle East,7
Estonia,"1,220,042",Europe,594
Finland,"5,557,653",Europe,604
France,"68,084,217",Europe,1572
Georgia,"4,933,674",Asia,152
Germany,"79,903,481",Europe,13186
Greece,"10,569,703",Europe,53
Hong Kong,"7,263,234",Asia,159
Hungary,"9,728,337",Europe,268
Iceland,"354,234",Europe,1307
India,"1,339,330,514",Asia,155
Indonesia,"275,122,131",Southeast Asia,6
Iraq,"39,650,145",Middle East,1
Ireland,"5,224,884",Europe,197
Isle of Man,"90,895",Europe,2
Israel,"8,787,045",Middle East,122
Italy,"62,390,364",Europe,267
Japan,"124,687,293",Asia,625
Kazakhstan,"19,245,793",Asia,63
Kenya,"54,685,051",Africa,2
Kyrgyzstan,"6,018,789",Asia,1
Latvia,"1,862,687",Europe,107
Lithuania,"2,711,566",Europe,86
Luxembourg,"639,589",Europe,494
Malaysia,"33,519,406",Southeast Asia,8
Malta,"460,891",Europe,16
Mexico,"130,207,371",North America,117
Moldova,"3,323,875",Europe,198
Mongolia,"3,198,913",Asia,2
Montenegro,"607,414",Europe,2
Nepal,"30,424,878",Asia,37
Netherlands,"17,337,403",Europe,2363
New Zealand,"4,991,442",Oceania,1
Nigeria,"219,463,862",Africa,4
North Macedonia,"2,100,000",Europe,1
Norway,"5,509,591",Europe,322
Pakistan,"238,181,034",Asia,4
Panama,"3,928,646",North America,141
Peru,"32,201,224",South America,9
Philippines,"110,818,325",Southeast Asia,9
Poland,"38,185,913",Europe,781
Portugal,"10,263,850",Europe,123
Romania,"21,230,362",Europe,558
Russia,"142,320,790",Europe,3204
Saudi Arabia,"34,783,757",Middle East,4
Serbia,"6,974,289",Europe,95
Seychelles,"96,387",Africa,128
Singapore,"5,866,139",Southeast Asia,199
Slovakia,"5,436,066",Europe,33
Slovenia,"2,102,106",Europe,18
South Africa,"56,978,635",Africa,12
South Korea,"51,715,162",Asia,106
Spain,"47,260,584",Europe,226
Sri Lanka,"23,044,123",Asia,5
Sweden,"10,261,767",Europe,1669
Switzerland,"8,453,550",Europe,1045
Syria,"20,384,316",Middle East,2
Taiwan,"23,572,052",Asia,20
Thailand,"69,480,520",Southeast Asia,22
Turkey,"82,482,383",Middle East,82
Uganda,"44,712,143",Africa,3
Ukraine,"43,745,640",Ukraine,5823
United Arab Emirates,"9,856,612",Middle East,137
United Kingdom,"67,081,000",Europe,894
United States,"334,998,398",North America,4559
Uruguay,"3,398,239",South America,4
Uzbekistan,"30,842,796",Asia,4
Venezuela,"29,069,153",South America,12
Vietnam,"102,789,598",Southeast Asia,16
Zambia,"19,077,816",Africa,1
