Country,Population,Region,Users,willingness,petition,boycott,demonstration,strikes,identity
Albania,"3,088,385",Southern Europe,57,1.794561934,2.24535316,2.598046582,2.477688369,2.95971223,3.76119403
Andorra,"85,645",Southern Europe,6,1.448551449,1.645,2.574277168,2.054835494,2.34965035,4.748322148
Argentina,"45,864,941",South America,11,1.611392405,2.098532495,2.732899023,2.237894737,2.234527687,5.617571059
Armenia,"3,011,609",Western Asia,16,1.870714286,2.296271186,2.593622795,2.314614344,2.585121602,4.534379671
Australia,"25,809,973",Oceania,717,1.553846154,1.218576196,2.07885906,2.016750419,2.193404136,5.068860451
Austria,"8,884,864",Western Europe,3276,1.471684588,1.599877074,2.355781449,2.30387794,2.709256845,5.07493188
Azerbaijan,"10,282,283",Western Asia,19,1.774891775,2.669375,2.845482866,2.711683417,2.922397476,6.002814259
Belarus,"9,441,842",Eastern Europe,107,1.810302535,2.584740041,2.841496599,2.650610583,2.888211382,5.136160714
Bolivia,"11,758,869",South America,21,1.838902743,2.365548322,2.820418848,2.200785469,2.397655105,4.913069909
Bosnia and Herzegovina,"3,824,782",Southern Europe,11,1.508496732,1.866467066,2.300724638,2.261732852,2.507050889,4.880546075
Brazil,"213,445,417",South America,298,1.484197219,1.726341169,2.567917206,2.18489426,2.221217601,4.495726496
Bulgaria,"6,919,180",Eastern Europe,81,1.709150327,2.34947839,2.738567073,2.443870015,2.732612056,5.165297741
Canada,"37,943,231",North America,404,1.422847188,1.339223494,1.972374316,2.00273768,2.117471379,5.091049383
Chile,"18,307,925",South America,20,1.474358974,2.311111111,2.711558855,2.254487856,2.351380042,4.95971223
China,"1,397,897,720",Southeastern Asia,74,1.896333333,2.406903419,2.581975391,2.65648855,2.705119681,NA
Colombia,"50,355,650",South America,18,1.753289474,2.065789474,2.336842105,2.213157895,2.436842105,4.753737907
Croatia,"4,208,973",Southern Europe,34,1.688715953,1.546648238,2.198257081,2.175839886,2.370639535,4.635748792
Cyprus,"1,281,506",Western Asia,35,1.722838137,2.037190083,2.468196038,2.095482546,2.225906736,4.969230769
Czechia,"10,702,596",Eastern Europe,219,1.583216783,1.871310508,2.603481625,2.301851852,2.639301875,5.180606958
Denmark,"5,894,687",Northern Europe,189,1.778892944,1.586081694,2.096483038,1.922324159,2.149876391,5.112999685
Egypt,"106,437,241",Africa,7,1.895907473,2.827467811,2.889361702,2.928388747,2.975234842,NA
Estonia,"1,220,042",Northern Europe,594,1.71350365,2.202982601,2.669527897,2.477599324,2.775107296,5.384704519
Finland,"5,587,442",Northern Europe,605,1.818827709,1.634417808,2.084494774,2.20880069,2.661498708,5.664522059
France,"68,084,217",Western Europe,1572,1.700455581,1.42949408,2.172961138,1.806677437,2.530891197,4.983892617
Georgia,"4,933,674",Western Asia,152,1.847331787,2.28267183,2.639904988,2.522492971,2.751180359,5.36329588
Germany,"79,903,481",Western Europe,13186,1.520265991,1.443059019,2.307760141,1.891838464,2.628292394,4.757575758
Greece,"10,569,703",Southern Europe,53,1.819148936,2.240101095,2.365517241,2.132478632,2.15969257,5.211238293
Hong Kong,"7,263,234",Southeastern Asia,159,1.515939186,2.134912959,2.41025641,2.190821256,2.512100678,5.573282856
Hungary,"9,728,337",Eastern Europe,268,1.59100958,2.407282535,2.782164738,2.599053414,2.855775803,5.436813187
