country,willing_fight,interest_politics,sign_petition,join_boycott,attend_demonstration,join_strikes,self_id
Albania,2,2,2,2,2,3,0
Albania,2,2,2,0,2,3,5
Albania,2,4,2,3,3,3,1
Albania,2,4,3,3,3,3,4
Albania,2,4,3,0,2,3,5
Albania,2,4,2,1,2,3,4
Albania,2,2,2,2,2,3,2
Albania,1,2,2,3,3,3,0
Albania,2,4,1,2,2,3,0
Albania,2,2,2,2,2,3,0
Albania,1,4,2,2,2,3,9
Albania,2,4,1,1,2,3,6
Albania,0,4,1,2,2,3,0
Albania,2,1,1,1,1,1,6
Albania,2,2,3,2,1,3,3
Albania,2,4,2,3,2,3,0
Albania,2,2,0,3,2,3,7
Albania,2,4,3,3,3,3,0
Albania,2,3,2,3,2,3,8
Albania,1,4,0,3,3,3,0
Albania,2,3,2,3,3,3,3
Albania,2,1,2,2,2,3,10
Albania,1,4,2,3,3,3,1
Albania,2,4,3,3,3,3,10
Albania,2,4,3,3,3,3,10
Albania,2,3,3,3,3,3,0
Albania,2,4,3,3,3,3,5
Albania,2,4,2,2,2,3,10
Albania,2,4,2,0,3,3,0
Albania,2,2,2,3,3,3,1
Albania,2,4,3,3,3,3,10
Albania,1,3,3,3,3,3,5
Albania,1,4,0,3,3,3,1
Albania,2,1,3,3,3,3,1
Albania,2,4,2,2,2,2,10
Albania,2,4,2,2,2,3,0
Albania,0,3,1,0,3,3,0
Albania,1,3,2,2,2,3,1
Albania,2,2,2,3,3,3,1
Albania,2,1,2,3,2,3,8
Albania,1,4,2,2,2,3,5
Albania,2,2,2,1,2,3,3
Albania,2,4,2,3,1,3,1
Albania,1,3,2,3,2,3,10
Albania,1,4,3,3,3,3,10
Albania,0,4,3,3,3,3,10
Albania,1,4,1,1,1,3,6
Albania,2,3,2,2,2,3,1
Albania,0,0,0,0,0,0,0
Albania,2,2,1,3,3,3,5
Albania,1,2,3,3,3,3,1
Albania,2,3,2,3,3,3,0
Albania,2,2,2,3,3,3,1
Albania,2,1,2,0,3,3,1
Albania,1,4,2,2,2,3,5
Albania,2,4,3,3,3,3,4
Albania,1,3,2,2,3,3,0
Albania,2,3,3,3,3,3,0
Albania,2,4,3,3,3,3,0
Albania,2,4,0,0,0,0,0
Albania,2,4,0,0,0,0,0
Albania,1,4,1,2,3,3,0
Albania,2,4,3,3,2,3,10
Albania,2,4,3,3,3,3,10
Albania,2,3,1,2,2,3,5
Albania,2,2,1,1,1,1,2
Albania,2,4,0,3,3,3,10
Albania,2,3,1,3,2,3,0
Albania,2,4,1,1,1,2,5
Albania,2,2,1,0,1,3,10
Albania,2,2,2,3,2,3,9
Albania,1,2,1,2,2,3,10
Albania,1,4,3,3,3,3,0
Albania,2,4,2,2,2,3,9
Albania,1,4,1,2,2,3,10
Albania,1,3,3,3,3,3,10
Albania,2,3,1,0,3,3,5
