"","country","willingness","petition","boycott","demonstration","strikes","identity"
"1","Albania",1.79456193353474,2.2453531598513,2.59804658151766,2.47768836869056,2.95971223021583,3.76119402985075
"2","Andorra",1.44855144855145,1.645,2.57427716849452,2.05483549351944,2.34965034965035,4.74832214765101
"3","Argentina",1.61139240506329,2.09853249475891,2.7328990228013,2.23789473684211,2.23452768729642,5.61757105943152
"4","Armenia",1.87071428571429,2.29627118644068,2.59362279511533,2.31461434370771,2.58512160228898,4.53437967115097
"5","Australia",1.55384615384615,1.21857619577308,2.07885906040268,2.01675041876047,2.19340413638904,5.06886045094455
"6","Austria",1.47168458781362,1.59987707437001,2.35578144853875,2.30387794024158,2.70925684485007,5.07493188010899
"7","Azerbaijan",1.77489177489177,2.669375,2.84548286604361,2.71168341708543,2.92239747634069,6.00281425891182
"8","Bangladesh",1.95398230088496,2.46325581395349,2.77151335311573,2.39906542056075,2.67843511450382,6.685546875
"9","Belarus",1.81030253475061,2.58474004051317,2.84149659863946,2.6506105834464,2.88821138211382,5.13616071428571
"10","Bolivia",1.83890274314214,2.36554832248373,2.82041884816754,2.20078546882671,2.39765510503175,4.91306990881459
"11","Bosnia & Herzegovina",1.50849673202614,1.86646706586826,2.30072463768116,2.26173285198556,2.50705088902514,4.88054607508532
"12","Brazil",1.48419721871049,1.72634116937914,2.56791720569211,2.18489425981873,2.22121760096444,4.4957264957265
"13","Bulgaria",1.70915032679739,2.349478390462,2.73856707317073,2.44387001477105,2.73261205564142,5.1652977412731
"14","Canada",1.42284718765555,1.33922349427576,1.97237431557989,2.00273768043803,2.11747137879542,5.09104938271605
"15","Chile",1.47435897435897,2.31111111111111,2.71155885471898,2.2544878563886,2.35138004246285,4.95971223021583
"16","China",1.89633333333333,2.40690341851975,2.58197539075491,2.65648854961832,2.70511968085106,NA
"17","Colombia",1.75328947368421,2.06578947368421,2.33684210526316,2.21315789473684,2.43684210526316,4.75373790677221
"18","Croatia",1.68871595330739,1.54664823773324,2.19825708061002,2.17583988563259,2.37063953488372,4.63574879227053
"19","Cyprus",1.72283813747228,2.03719008264463,2.4681960375391,2.09548254620123,2.2259067357513,4.96923076923077
"20","Czechia",1.58321678321678,1.87131050767414,2.60348162475822,2.30185185185185,2.63930187459599,5.18060695780903
"21","Denmark",1.77889294403893,1.58608169440242,2.09648303765951,1.92232415902141,2.14987639060569,5.11299968523765
"22","Ecuador",1.81615120274914,2.3786078098472,2.84476534296029,2.38799661876585,2.64864864864865,4.96655879180151
"23","Egypt",1.89590747330961,2.8274678111588,2.88936170212766,2.92838874680307,2.97523484201537,NA
"24","Estonia",1.71350364963504,2.2029826014913,2.66952789699571,2.47759932375317,2.77510729613734,5.38470451911935
"25","Ethiopia",1.88793840889649,2.54499579478553,2.8669991687448,2.39423868312757,2.87966804979253,4.19512195121951
"26","Finland",1.81882770870337,1.63441780821918,2.08449477351916,2.20880069025022,2.66149870801034,5.66452205882353
"27","France",1.7004555808656,1.42949407965554,2.17296113847838,1.8066774367259,2.53089119737561,4.98389261744966
"28","Georgia",1.84733178654292,2.28267182962246,2.63990498812352,2.52249297094658,2.75118035882908,5.36329588014981
"29","Germany",1.52026599113363,1.44305901911887,2.30776014109347,1.89183846371082,2.62829239419947,4.75757575757576
"30","Greece",1.81914893617021,2.24010109519798,2.36551724137931,2.13247863247863,2.1596925704526,5.21123829344433
"31","Guatemala",1.62975486052409,2.1457800511509,2.65401207937877,2.2693947144075,2.47717484926787,5.15134099616858
"32","Hong Kong SAR China",1.51593918587543,2.13491295938104,2.41025641025641,2.19082125603865,2.51210067763795,5.57328285559762
"33","Hungary",1.59100957995578,2.40728253540121,2.78216473791695,2.59905341446924,2.85577580314422,5.43681318681319
"34","Iceland",1.54575378538512,1.46902106567534,1.72360248447205,1.77371357718537,2.59464508094645,5.02073578595318
"35","Indonesia",1.88366960907945,2.63242224316682,2.83091939546599,2.48977022348127,2.78844946641557,5.41772748703442
"36","Iran",1.73766058147397,2.34101694915254,2.34527027027027,2.41318977119785,2.69074949358542,NA
"37","Iraq",1.80191972076789,2.63207547169811,2.76608695652174,2.56814310051107,2.76465517241379,NA
"38","Italy",1.45522388059702,1.80599812558575,2.46809523809524,1.95662423385196,2.55528730082086,5.27968851395198
"39","Japan",1.21317365269461,1.58464079273328,2.62121212121212,2.44382544103993,2.60848601735776,5.55460385438972
"40","Jordan",1.95516074450085,2.70516185476815,2.69535283993115,2.76313522825151,2.78694158075601,NA
"41","Kazakhstan",1.79867674858223,2.70698466780239,2.86201022146508,2.74829931972789,2.87339606501283,NA
"42","Kyrgyzstan",1.93670886075949,2.71465517241379,2.8808911739503,2.7017841971113,2.88530161427358,NA
"43","Lebanon",1.66666666666667,2.62447257383966,2.71912013536379,2.64085106382979,2.66438941076003,NA
"44","Lithuania",1.42974452554745,2.19066147859922,2.40923566878981,2.35243996901627,2.65948632974317,5.61619348054679
"45","Macao SAR China",1.40962671905697,2.35063663075416,2.58997050147493,2.37843137254902,2.54170755642787,5.08138351983723
"46","Malaysia",1.78979436405179,2.0974866717441,2.42421934501142,2.37471439451637,2.64508758568165,5.67417538213998
"47","Mexico",1.70400943396226,2.45060658578856,2.77156177156177,2.53957250144425,2.64273306311523,4.97665937272064
"48","Montenegro",1.61353711790393,1.7008281573499,2.16239316239316,2.31086956521739,2.47302383939774,4.37777777777778
"49","Myanmar (Burma)",1.84083333333333,2.73373807458803,2.8249581239531,2.68959731543624,2.86515912897822,NA
"50","Netherlands",1.5247619047619,1.53950722175021,2.23963730569948,2.1616333475117,2.63103890551518,5.33790818741126
"51","New Zealand",1.55364238410596,1.22678396871945,2.07104413347686,2.025613660619,2.13918629550321,5.21794871794872
"52","Nicaragua",1.71612903225806,2.52083333333333,2.72416666666667,2.5875,2.7425,4.27976190476191
"53","Nigeria",1.69518272425249,2.59098639455782,2.70935130581297,2.29159802306425,2.34829592684954,5.19101123595506
"54","North Macedonia",1.43956043956044,2.13905325443787,2.25739644970414,2.23655913978495,2.59732234809475,4.78448275862069
"55","Norway",1.89727272727273,1.43189964157706,2.22010869565217,1.88140161725067,2.75517551755176,5.16110581506196
"56","Pakistan",1.88168724279835,2.58068181818182,2.70086956521739,2.54882924043404,2.72209436133487,NA
"57","Peru",1.74261922785768,2.33505535055351,2.73814898419865,2.30724637681159,2.42369186046512,5.49853372434018
"58","Philippines",1.75583333333333,2.4825,2.81469115191987,2.51125938281902,2.835,5.86494845360825
"59","Poland",1.79169992019154,1.92225609756098,2.63178294573643,2.35491241431835,2.73182173573104,5.63483146067416
"60","Portugal",1.38121047877145,2.29815745393635,2.70568278201866,2.45531197301855,2.83150800336984,4.9304152637486
"61","Puerto Rico",1.7002700270027,2.15751575157516,2.51801801801802,2.18541854185419,2.35405405405405,3.95544554455446
"62","Romania",1.5744769874477,2.38369483919222,2.79277201076509,2.45610119047619,2.75028291210864,4.90310322989234
"63","Russia",1.7537750385208,2.44168591224018,2.78733955659277,2.47554660529344,2.81004937554458,5.61336405529954
"64","Serbia",1.53835616438356,1.97289156626506,2.3042525208242,2.27463863337714,2.39300134589502,4.90265486725664
"65","Singapore",1.77655677655678,2.41453634085213,2.77593984962406,2.727959697733,2.88122798188223,4.93514150943396
"66","Slovakia",1.39274691358025,1.90572878897752,2.61141094834233,2.57451564828614,2.79465648854962,5.31744604316547
"67","Slovenia",1.80061664953751,1.93320610687023,2.35741811175337,2.29158699808795,2.57060518731988,4.62064676616915
"68","South Korea",1.67389558232932,2.17751004016064,2.43534136546185,2.30843373493976,2.50361445783133,5.2612540192926
"69","Spain",1.37047353760446,1.9488986784141,2.61896400351185,1.94543904518329,2.49472759226714,4.65466101694915
"70","Sweden",1.8514335360556,1.33698399326032,1.97028862478778,1.92645815722739,2.6763202725724,5.33032490974729
"71","Switzerland",1.6312625250501,1.35247208931419,2.20806658130602,2.03162939297125,2.68653846153846,5.14550353654429
