country,willing_fight,interest_politics,sign_petition,join_boycott,attend_demonstration,join_strikes,self_id
Albania,2,2,2,2,2,3,na
Albania,2,2,2,na,2,3,5
Albania,2,4,2,3,3,3,1
Albania,2,4,3,3,3,3,4
Albania,2,4,3,na,2,3,5
Albania,2,4,2,1,2,3,4
Albania,2,2,2,2,2,3,2
Albania,1,2,2,3,3,3,na
Albania,2,4,1,2,2,3,na
Albania,2,2,2,2,2,3,na
Albania,1,4,2,2,2,3,9
Albania,2,4,1,1,2,3,6
Albania,na,4,1,2,2,3,na
Albania,2,1,1,1,1,1,6
Albania,2,2,3,2,1,3,3
Albania,2,4,2,3,2,3,na
Albania,2,2,na,3,2,3,7
Albania,2,4,3,3,3,3,na
Albania,2,3,2,3,2,3,8
Albania,1,4,na,3,3,3,na
Albania,2,3,2,3,3,3,3
Albania,2,1,2,2,2,3,1na
Albania,1,4,2,3,3,3,1
Albania,2,4,3,3,3,3,1na
Albania,2,4,3,3,3,3,1na
Albania,2,3,3,3,3,3,na
Albania,2,4,3,3,3,3,5
Albania,2,4,2,2,2,3,1na
Albania,2,4,2,na,3,3,na
Albania,2,2,2,3,3,3,1
Albania,2,4,3,3,3,3,1na
Albania,1,3,3,3,3,3,5
Albania,1,4,na,3,3,3,1
Albania,2,1,3,3,3,3,1
Albania,2,4,2,2,2,2,1na
Albania,2,4,2,2,2,3,na
Albania,na,3,1,na,3,3,na
Albania,1,3,2,2,2,3,1
Albania,2,2,2,3,3,3,1
Albania,2,1,2,3,2,3,8
Albania,1,4,2,2,2,3,5
Albania,2,2,2,1,2,3,3
Albania,2,4,2,3,1,3,1
Albania,1,3,2,3,2,3,1na
Albania,1,4,3,3,3,3,1na
Albania,na,4,3,3,3,3,1na
Albania,1,4,1,1,1,3,6
Albania,2,3,2,2,2,3,1
Albania,na,na,na,na,na,na,na
Albania,2,2,1,3,3,3,5
Albania,1,2,3,3,3,3,1
Albania,2,3,2,3,3,3,na
Albania,2,2,2,3,3,3,1
Albania,2,1,2,na,3,3,1
Albania,1,4,2,2,2,3,5
Albania,2,4,3,3,3,3,4
Albania,1,3,2,2,3,3,na
Albania,2,3,3,3,3,3,na
Albania,2,4,3,3,3,3,na
Albania,2,4,na,na,na,na,na
Albania,2,4,na,na,na,na,na
