country,pop_weight,scaled_weight
Albania,0.139921742,0.696864111
Andorra,0.00697,0.9960159
Argentina,2.81456,0.997009
Armenia,0.1460457,0.6666667
Australia,0.89796,0.551572
Austria,0.456759428,0.608272506
Azerbaijan,0.408573333,0.555555556
Bangladesh,9.0275,0.8333333
Belarus,0.4718458,0.6459948
Bolivia,0.33237,0.4837929
Bosnia & Herzegovina,0.1646437,0.5800464
Brazil,8.29115,0.5675369
Bulgaria,0.3967421,0.6418485
Canada,0.6222,0.24888
Chile,1.287,1
China,32.66304,0.3293808
Colombia,2.23553,0.6578947
Croatia,0.2311445,0.672495
Cyprus,0.083,1
Czechia,0.4740694,0.5521811
Denmark,0.1197003,0.297442
Ecuador,0.94,0.8333333
Egypt,5.09417,0.8333333
Estonia,0.08172784,0.7668712
Ethiopia,5.11626,0.8130081
Finland,0.3676324,0.8340284
France,2.661183,0.5347594
Georgia,0.2632277,0.4557885
Germany,3.294057642,0.540832902
Greece,0.57333,0.8333333
Guatemala,0.82669,0.8136697
Hong Kong SAR China,0.25398,0.4819277
Hungary,0.5341343,0.660502
Iceland,0.01485837,0.6157635
Indonesia,5.72844,0.3125
Iran,3.81588,0.6671114
Iraq,1.91917,0.8333333
Italy,2.1185,0.4391744
Japan,5.54545,0.7390983
Jordan,0.52535,0.8312552
Kazakhstan,0.92013,0.7830854
Kyrgyzstan,0.33833,0.8333333
Lebanon,0.38333,0.8333333
Lithuania,0.1614307,0.6906077
Macao SAR China,0.04692,0.9775171
Malaysia,1.6885,0.7616146
Mexico,4.86559,0.5743825
Montenegro,0.04732353,0.997009
Myanmar (Burma),3.06583,0.8333333
Netherlands,0.5738348,0.4159734
New Zealand,0.29991,0.9460738
Nicaragua,0.3525,0.8333333
Nigeria,8.70251,0.8084074
North Macedonia,0.1624569,0.8952551
Norway,0.3728295,0.8912656
Pakistan,6.5645,0.5
Peru,1.54071,0.7142857
Philippines,5.785,0.8333333
Poland,2.351972,0.739645
Portugal,0.6672651,0.8230453
Puerto Rico,0.18279,0.8873114
Romania,1.085278451,0.696864089
Russia,6.012210915,0.550206331
Serbia,0.398255361,0.733724954
Singapore,0.21372,0.4970179
Slovakia,0.3095476,0.698324
Slovenia,0.1514864,0.9302326
South Korea,1.44578,0.8032129
Spain,2.90291,0.8271299
Sweden,0.6699032,0.8375209
Switzerland,0.2176958,0.3150599
Taiwan,1.43663,0.8176615
Tajikistan,0.465,0.8333333
Thailand,3.28467,0.6666667
Tunisia,0.65066,0.8278146
Turkey,2.31387,0.4140787
Ukraine,2.209544458,0.68941745
United Kingdom,2.832444,0.5592841
United States,8.24923,0.385208
Vietnam,5.565,0.8333333
Zimbabwe,0.66091,0.8230453
