country,surveillance,monitor,collect,users
Albania,2.443205575,3.0271777,2.951219512,57
Andorra,2.261952191,3.588645418,3.569721116,6
Argentina,2.499501496,3.044865404,2.775672981,11
Armenia,2.359333333,2.657333333,2.552,16
Australia,1.787644788,2.87755102,2.89685604,717
Austria,2.49513382,3.085158151,3.333333333,3276
Azerbaijan,2.015555556,2.675,2.755,19
Belarus,2.144702842,3.197028424,3.325581395,107
Bolivia,2.147073053,2.738751814,2.795839381,21
Bosnia & Herzegovina,2.469837587,3.061484919,2.951856148,11
Brazil,2.246878547,2.991486947,3.056186152,298
Bulgaria,2.403080873,2.996790757,3.299743261,81
Canada,2.548033848,3.363364858,3.201592832,404
Chile,2.5,3.121,3.141,20
China,1.812582345,2.282279315,2.467061924,74
Colombia,2.276315789,2.980263158,3.003289474,18
Croatia,2.815736382,3.275722932,3.22394082,34
Cyprus,2.859,3.078,3.031,35
Czechia,2.443401436,3.352291552,3.494202098,219
Denmark,1.799226651,3.077632362,3.115704938,189
Egypt,0,0,0,7
Estonia,2.417944785,3.226226994,3.206288344,594
Finland,1.597164304,2.619683069,2.81234362,605
France,2.169518717,2.870588235,3.160962567,1572
Georgia,2.386052871,2.866453965,3.065177758,152
Germany,2.136289886,2.999729584,3.347485127,13186
Greece,3.058333333,3.309166667,3.2325,53
Hong Kong SAR China,2.457831325,3.019759036,3.188433735,159
Hungary,2.065389696,3.298546896,3.41677675,268
Iceland,1.899630542,3.41317734,3.403325123,1307
Indonesia,1.970625,2.1234375,2.2721875,6
Iraq,1.6925,2.3625,1.966666667,1
Italy,1.906455863,2.913482653,2.942907334,267
Japan,2.125646711,2.609016999,2.912786401,625
Kazakhstan,2.138714734,2.746865204,2.831504702,63
Kyrgyzstan,1.758333333,2.4975,2.7975,1
Lithuania,2.379834254,3.230662983,3.347375691,86
Malaysia,2.175932978,2.875856816,2.770753998,8
Mexico,2.546290972,3.211040828,3.38240368,117
Montenegro,2.545363908,2.843469591,2.703888335,2
Netherlands,1.827371048,2.691763727,2.590682196,2363
New Zealand,1.87038789,2.875118259,2.789971618,1
Nigeria,1.926434923,2.468876314,2.491511722,4
North Macedonia,2.801253357,3.053715309,3.040286482,1
Norway,2.459893048,3.295008913,3.377896613,322
Pakistan,1.59047619,1.760401003,2.123308271,4
Peru,1.978571429,2.734285714,2.904285714,9
Philippines,1.6375,2.295,2.3975,9
Poland,2.894970414,3.309911243,3.524408284,781
Portugal,2.24526749,3.032921811,2.930864198,123
Romania,2.469686411,2.937630662,3.108013937,558
Russia,2.27042641,2.953507565,3.045942228,3204
Serbia,2.247544204,3.020039293,3.114341847,95
Singapore,2.166003976,2.907554672,3.081013917,199
Slovakia,2.453212291,3.155726257,3.264664804,33
Slovenia,2.925581395,3.4,3.400930233,18
South Korea,2.593574297,3.159839357,3.254618474,106
Spain,2.512820513,2.914805624,2.900744417,226
Sweden,1.568676717,2.897822446,3.185092127,1669
Switzerland,2.260869565,3.011342155,3.235034657,1045
Taiwan,1.981193786,2.814390842,3.053147997,20
Thailand,1.892666667,2.746,2.802,22
Turkey,2.911387164,3.084886128,3.067494824,82
Ukraine,2.443984833,3.268183385,3.200965184,5823
United Kingdom,1.868568233,2.744407159,2.703020134,896
United States,2.19375963,3.119799692,3.021571649,4559
Vietnam,2.621666667,3.32,3.15,16
