Country,Population,Region,Users
Aland,"29,789",Northern Europe,1
Albania,"3,088,385",Southern Europe,57
Algeria,"43,576,691",Northern Africa,10
Andorra,"85,645",Southern Europe,6
Argentina,"45,864,941",South America,11
Armenia,"3,011,609",Western Asia,16
Australia,"25,809,973",Oceania,717
Austria,"8,884,864",Western Europe,3276
Azerbaijan,"10,282,283",Western Asia,19
Bahamas,"352,655",Caribbean,23
Belarus,"9,441,842",Eastern Europe,107
Belgium,"11,778,842",Western Europe,173
Bhutan,"857,423",Southern Asia,1
Bolivia,"11,758,869",South America,21
Bosnia and Herzegovina,"3,824,782",Southern Europe,11
Brazil,"213,445,417",South America,298
Bulgaria,"6,919,180",Eastern Europe,81
Burkina Faso,"21,382,659",Western Africa,4
Cambodia,"17,304,363",Southeastern Asia,4
Canada,"37,943,231",North America,404
Chile,"18,307,925",South America,20
China,"1,397,897,720",Eastern Asia,74
Colombia,"50,355,650",South America,18
Costa Rica,"5,151,140",Central America,1
Croatia,"4,208,973",Southern Europe,34
Cyprus,"1,281,506",Western Asia,35
Czech Republic,"10,702,596",Eastern Europe,219
Denmark,"5,894,687",Northern Europe,189
Egypt,"106,437,241",Northern Africa,7
Estonia,"1,220,042",Northern Europe,594
Finland,"5,557,653",Northern Europe,604
France,"68,084,217",Western Europe,1572
Georgia,"4,933,674",Western Asia,152
Germany,"79,903,481",Western Europe,13186
Greece,"10,569,703",Southern Europe,53
Hong Kong,"7,263,234",Eastern Asia,159
Hungary,"9,728,337",Eastern Europe,268
Iceland,"354,234",Northern Europe,1307
India,"1,339,330,514",Southern Asia,155
Indonesia,"275,122,131",Southeastern Asia,6
Iraq,"39,650,145",Western Asia,1
Ireland,"5,224,884",Northern Europe,197
Isle of Man,"90,895",Northern Europe,2
Israel,"8,787,045",Western Asia,122
Italy,"62,390,364",Southern Europe,267
Japan,"124,687,293",Eastern Asia,625
Kazakhstan,"19,245,793",Central Asia,63
Kenya,"54,685,051",Eastern Africa,2
Kyrgyzstan,"6,018,789",Central Asia,1
Latvia,"1,862,687",Northern Europe,107
Lithuania,"2,711,566",Northern Europe,86
Luxembourg,"639,589",Western Europe,494
Malaysia,"33,519,406",Southeastern Asia,8
Malta,"460,891",Southern Europe,16
Mexico,"130,207,371",North America,117
Moldova,"3,323,875",Eastern Europe,198
Mongolia,"3,198,913",Eastern Asia,2
Montenegro,"607,414",Southern Europe,2
Nepal,"30,424,878",Southern Asia,37
Netherlands,"17,337,403",Western Europe,2363
New Zealand,"4,991,442",Oceania,1
Nigeria,"219,463,862",Western Africa,4
North Macedonia,"2,100,000",Southern Europe,1
Norway,"5,509,591",Northern Europe,322
Pakistan,"238,181,034",Southern Asia,4
Panama,"3,928,646",Central America,141
Peru,"32,201,224",South America,9
Philippines,"110,818,325",Southeastern Asia,9
Poland,"38,185,913",Eastern Europe,781
Portugal,"10,263,850",Southern Europe,123
Romania,"21,230,362",Eastern Europe,558
Russia,"142,320,790",Central Asia,3204
Saudi Arabia,"34,783,757",Western Asia,4
Serbia,"6,974,289",Southern Europe,95
Seychelles,"96,387",Eastern Africa,128
Singapore,"5,866,139",Southeastern Asia,199
Slovakia,"5,436,066",Eastern Europe,33
Slovenia,"2,102,106",Southern Europe,18
South Africa,"56,978,635",Southern Africa,12
South Korea,"51,715,162",Eastern Asia,106
Spain,"47,260,584",Southern Europe,226
Sri Lanka,"23,044,123",Southern Asia,5
Sweden,"10,261,767",Northern Europe,1669
Switzerland,"8,453,550",Western Europe,1045
Syria,"20,384,316",Western Asia,2
Taiwan,"23,572,052",Eastern Asia,20
Thailand,"69,480,520",Southeastern Asia,22
Turkey,"82,482,383",Western Asia,82
Uganda,"44,712,143",Eastern Africa,3
Ukraine,"43,745,640",Eastern Europe,5823
United Arab Emirates,"9,856,612",Western Asia,137
United Kingdom,"67,081,000",Northern Europe,894
United States,"334,998,398",North America,4559
Uruguay,"3,398,239",South America,4
Uzbekistan,"30,842,796",Central Asia,4
Venezuela,"29,069,153",South America,12
Vietnam,"102,789,598",Southeastern Asia,16
Zambia,"19,077,816",Eastern Africa,1
