Date,All_Locations,Europe,North_America,Oceania,South_America,Asia,Africa,Middle_East,Southeast_Asia
2/26/2022,19811,7777,4763,2301,0,4960,10,50,4753
2/27/2022,410149,346425,56690,3703,171,1765,2022,653,871
2/28/2022,295464,238816,53122,278,166,532,4771,174,36
3/1/2022,202270,171920,28329,662,34,3250,299,412,11
3/2/2022,95478,73628,21099,836,12,1786,186,150,972
3/3/2022,33566,8929,24598,164,6,482,86,16,194
3/4/2022,23453,3865,17914,64,3,2401,21,20,111
3/5/2022,24645,2336,20619,48,3,2527,11,20,51
3/6/2022,25804,13143,15428,59,1,3914,4,6,22
3/7/2022,29505,21259,15084,172,0,4041,215,5,576
3/8/2022,21066,9369,15004,22,0,2489,29,2,890
3/9/2022,7134,2050,5720,106,0,566,8,1,305
3/10/2022,16114,9516,6334,898,17,220,2,1,152
3/11/2022,10795,5731,6780,387,322,145,2,1,89
