Domain,Location,Number of Articles,Total Interactions,Total Facebook Interactions,Total Twitter Influencer Interactions
bleepingcomputer.com,United States,13,6943,6093,850
pcmag.com,United States,13,5755,5687,68
bbc.com,United Kingdom,10,1384989,1384277,712
wired.com,United States,9,32674,30614,2060
forbes.com,United States,8,58916,57307,1609
independent.co.uk,United Kingdom,8,7445,5804,1641
theguardian.com,United Kingdom,6,25099,24366,733
abc.net.au,Australia,6,11404,11304,100
metro.co.uk,United Kingdom,4,20462,20077,385
euronews.com,France,4,11514,11280,234
vanguardngr.com,Nigeria,3,5887,5817,70
time.com,United States,2,65768,64492,1276
thefederalistpapers.org,United States,2,59124,59124,0
t.me,Montenegro,2,21568,11310,10258
bbc.co.uk,United Kingdom,2,20737,20368,369
westernjournal.com,United States,2,19186,19176,10
ladbible.com,United Kingdom,2,14713,14713,0
foxnews.com,United States,2,14537,13984,553
iflscience.com,United States,2,12447,12429,18
abcnews.go.com,United States,2,10066,9863,203
france24.com,France,2,9879,9879,0
jpost.com,Israel,2,5860,5466,394
cnbc.com,United States,1,38932,38847,85
ain.ua,Ukraine,1,19705,19699,6
economist.com,United Kingdom,1,15236,13935,1301
elpais.com,Spain,1,12357,11023,1334
nbcnews.com,United States,1,11520,11311,209
anonhq.com,United States,1,9266,9266,0
technews.tw,Taiwan,1,6531,6531,0
thecybersecuritytimes.com,United States,1,6136,6136,0
