Time,Social Interactions,Articles Published,Social Interaction Annotations,Articles Published Annotations
2/1/2022,19,0,,
2/2/2022,9,0,,
2/3/2022,4,0,,
2/4/2022,1,0,,
2/5/2022,0,0,,
2/6/2022,1,0,,
2/7/2022,0,0,,
2/8/2022,2,0,,
2/9/2022,0,0,,
2/10/2022,10,2,,
2/11/2022,3,1,,
2/12/2022,3,0,,
2/13/2022,6,0,,
2/14/2022,0,0,,
2/15/2022,0,0,,
2/16/2022,1,0,,
2/17/2022,0,0,,
2/18/2022,0,0,,
2/19/2022,1,0,,
2/20/2022,0,0,,
2/21/2022,0,0,,
2/22/2022,0,0,,
2/23/2022,0,0,,
2/24/2022,0,1,,
2/25/2022,0,12,,
2/26/2022,21643,175,,
2/27/2022,417201,148,,
2/28/2022,805955,448,,
3/1/2022,410806,153,,
3/2/2022,111755,210,,
3/3/2022,38950,145,,
3/4/2022,27283,299,,
3/5/2022,26919,92,,
3/6/2022,26481,48,,
3/7/2022,30155,84,,
3/8/2022,21975,53,,
3/9/2022,7996,29,,
3/10/2022,17103,50,,
3/11/2022,11568,89,,
3/12/2022,7509,26,,
3/13/2022,4707,13,,
3/14/2022,3421,35,,
3/15/2022,16213,89,,
3/16/2022,38159,44,,
3/17/2022,16256,31,,
3/18/2022,9031,79,,
3/19/2022,16544,23,,
3/20/2022,27075,9,,
3/21/2022,23349,35,,
3/22/2022,10151,24,,
3/23/2022,44112,56,,
3/24/2022,30375,19,,
3/25/2022,8852,9,,
3/26/2022,4965,7,,
3/27/2022,3264,18,,
3/28/2022,2338,24,,
3/29/2022,5060,39,,
3/30/2022,2825,32,,
3/31/2022,2907,23,,
4/1/2022,1875,15,,
4/2/2022,1344,6,,
4/3/2022,1389,6,,
4/4/2022,1408,9,,
4/5/2022,950,1,,
4/6/2022,721,2,,
4/7/2022,848,89,,
4/8/2022,2250,82,,
4/9/2022,970,2,,
4/10/2022,565,9,,
4/11/2022,622,7,,
4/12/2022,640,20,,
4/13/2022,3603,6,,
4/14/2022,6169,6,,
4/15/2022,10580,35,,
4/16/2022,8834,37,,
4/17/2022,8732,8,,
4/18/2022,7489,44,,
4/19/2022,4332,8,,
4/20/2022,545,4,,
4/21/2022,2728,4,,
