Published,Headline,Summary,Summary Word count,Link,Domain,Image Link,Facebook Predicted Score,Facebook Overperforming,Link URL,Highest Velocity,Branded Content,Branded Page Name,Branded Page URL,Facebook Interactions,Facebook Likes,Facebook Shares,Facebook Comments,Facebook Page Name,Facebook Media Type,Facebook Loves,Facebook Hahas,Facebook Wows,Facebook Sads,Facebook Angrys,Video Duration (seconds)
2022-03-23T06:42:26,'We want them to go to the Stone Age': Ukrainian coders are splitting their time between work and cyber warfare,"Over 311,000 people have joined a group called ""IT Army of Ukraine"" on the social media platform Telegram.",18,https://www.facebook.com/97212224368_10160877782144369,cnbc.com,https://external-iad3-2.xx.fbcdn.net/safe_image.php?d=AQH2uP_6uLHrgMNA&url=https%3A%2F%2Fimage.cnbcfm.com%2Fapi%2Fv1%2Fimage%2F102294588-163793600.jpg%3Fv%3D1545412386%26w%3D1920%26h%3D1080&ext=emg0&_nc_oe=6fca2&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQHH4gL2SGKZdy23,Prediction unavailable,4.24x,https://www.cnbc.com/2022/03/23/ukrainian-coders-splitting-their-time-between-day-job-and-cyberwar.html,486,FALSE,,,32953,24759,2168,752,CNBC,Link,4168,760,267,24,55,
2022-03-23T06:42:26,'We want them to go to the Stone Age': Ukrainian coders are splitting their time between work and cyber warfare,"Over 311,000 people have joined a group called ""IT Army of Ukraine"" on the social media platform Telegram.",18,https://www.facebook.com/702890716478738_4459893347445104,cnbc.com,https://external-iad3-2.xx.fbcdn.net/safe_image.php?d=AQH2uP_6uLHrgMNA&url=https%3A%2F%2Fimage.cnbcfm.com%2Fapi%2Fv1%2Fimage%2F102294588-163793600.jpg%3Fv%3D1545412386%26w%3D1920%26h%3D1080&ext=emg0&_nc_oe=6fca2&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQHH4gL2SGKZdy23,Prediction unavailable,0x,https://www.cnbc.com/2022/03/23/ukrainian-coders-splitting-their-time-between-day-job-and-cyberwar.html,105,FALSE,,,341,260,23,17,CNBC International,Link,8,30,2,0,1,
2022-03-01T00:45:00,Ukraine Creates 'IT Army' To Hack Russia And Its Allies,"More than 100,000 tech experts are taking the resistance to cyberspace 💻🇺🇦",12,https://www.facebook.com/199098633470668_9927908557256245,ladbible.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQEbkgM1y609jMun&url=https%3A%2F%2Fimages.ladbible.com%2Fresize%3Ftype%3Djpeg%26quality%3D70%26width%3D1200%26fit%3Dcontain%26dpr%3D1%26url%3Dhttps%3A%2F%2Feu-images.contentstack.com%2Fv3%2Fassets%2Fbltcd74acc1d0a99f3a%2Fbltceae063a4ce62ea3%2F621cac415a1d9f2bc7086387%2Fukraine_hacking.png&ext=emg0&_nc_oe=6fa8c&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQGS7n6jRKn2bskR,Prediction unavailable,1.32x,https://www.ladbible.com/news/ukraine-creates-it-army-to-hack-russia-and-its-allies-20220228,1852,FALSE,,,14138,11310,214,239,LADbible,Link,2036,254,59,5,21,
2022-03-16T17:05:00,"Over 300,000 Hackers Join Ukraine's Volunteer 'IT Army' Against Russia","Ukraine called for a volunteer ""IT army"" to fight the Russian invasion, and it appears that hundreds of thousands of people have already answered the call.",26,https://www.facebook.com/367116489976035_5764858703535093,iflscience.com,https://external-yyz1-1.xx.fbcdn.net/safe_image.php?d=AQGsMsnDeE7F1xek&url=https%3A%2F%2Fcdn.iflscience.com%2Fimages%2F84c31301-0169-53f2-a254-d4eee13e9007%2Fdefault-1647444309-hacker.jpg&ext=emg0&_nc_oe=6fc04&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEk4z76gY8j0Xu3,Prediction unavailable,0.74x,https://www.iflscience.com/technology/over-300000-hackers-join-ukraines-volunteer-it-army-against-russia/,929,FALSE,,,9379,6907,371,168,IFLScience,Link,1730,96,91,3,13,
2022-02-27T21:49:20,"Ukraine takes resistance to cyberspace, assembles 'IT army' to hack sites from Russia, allies","As Ukraine continues to make efforts to mobilize and equip ordinary citizens on the ground to resist Russia’s unprovoked invasion of the country, those who are outside Ukraine who wants to help are being asked to get involved in the fight in the virtual world....

https://www.vanguardngr.com/2022/02/ukraine-takes-resistance-to-cyberspace-assembles-it-army-to-hack-sites-from-russia-allies/",46,https://www.facebook.com/135140476511057_7885465374811823,vanguardngr.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQF59yeAWdoed3Y5&url=https%3A%2F%2Fcdn.vanguardngr.com%2Fwp-content%2Fuploads%2F2020%2F01%2FUkraine.jpg&ext=emg0&_nc_oe=6fa71&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQGLwkwSwcsUyHau,Prediction unavailable,4.6x,https://www.vanguardngr.com/2022/02/ukraine-takes-resistance-to-cyberspace-assembles-it-army-to-hack-sites-from-russia-allies/,144,FALSE,,,3754,3371,107,223,Vanguard News,Link,25,14,4,8,2,
2022-02-28T09:50:59,Ukraine Creates IT Army of Volunteer Hackers to Fight Russia,Ukraine creates IT army of volunteer hackers and orders cyber attacks on Russian websites.,14,https://www.facebook.com/177486166274_327482732747238,gizmodo.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQEN3N3uMlC0EaFm&url=https%3A%2F%2Fi.kinja-img.com%2Fgawker-media%2Fimage%2Fupload%2Fc_fill%2Cf_auto%2Cfl_progressive%2Cg_center%2Ch_675%2Cpg_1%2Cq_80%2Cw_1200%2F6f3e6d6a6de341905a1c94845bf4fe33.jpg&ext=emg0&_nc_oe=6fa7d&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQFw9t4_E_2aTjIy,Prediction unavailable,0x,https://gizmodo.com/ukraine-it-volunteer-hacker-army-response-to-russian-in-1848600395,362,FALSE,,,2323,1779,82,22,Being Liberal,Link,428,5,7,0,0,
2022-03-16T16:00:44,"300,000 Hackers Join Ukraine's 'IT Army' To Fight Russia's Digital Front","And they're not only from Ukraine, but the around the world!",11,https://www.facebook.com/237061956027_340063454835569,crafty.diply.com,https://external-yyz1-1.xx.fbcdn.net/safe_image.php?d=AQFewaxWyCZI5d7b&url=https%3A%2F%2Fimgb.srgcdn.com%2F102c6ff1-69fe-4c68-a8a6-9bf44cfed93d.png&ext=emg0&_nc_oe=6fc03&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEssKe1vKxRpp09,Prediction unavailable,0.56x,https://crafty.diply.com/10003506/300000-hackers-join-ukraines-it-army-to-fight-russias-digital-f,467,FALSE,,,2286,1574,146,95,The Lowdown,Link,379,60,24,0,8,
2022-03-03T19:00:18,Ukraine's 'IT Army' Is Attempting to Take Russia's GPS System Offline,"Ukraine managed to recruit a small army of hackers to try and disrupt Russian corporations, banks, and government agencies. Now they are going after Russia's GPS system.",27,https://www.facebook.com/15551698395_10159748110243396,pcmag.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQHI_AMuWNu_Bxiq&url=https%3A%2F%2Fi.pcmag.com%2Fimagery%2Farticles%2F03pyVzwUnDDAM2bOfAGY9TH-1.fit_lim.size_1200x630.v1646327288.jpg&ext=emg0&_nc_oe=6face&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQEhmam1F9I4UjCU,Prediction unavailable,0.49x,https://www.pcmag.com/news/ukraines-it-army-is-attempting-to-take-russias-gps-system-offline,79,FALSE,,,1543,1166,38,30,PCMag,Link,243,30,33,0,3,
2022-02-28T01:12:14,Ukraine Creates IT Army of Volunteer Hackers to Fight Russia,Ukraine creates IT army of volunteer hackers and orders cyber attacks on Russian websites.,14,https://www.facebook.com/5718758966_10159896240028967,gizmodo.com,https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQEN3N3uMlC0EaFm&url=https%3A%2F%2Fi.kinja-img.com%2Fgawker-media%2Fimage%2Fupload%2Fc_fill%2Cf_auto%2Cfl_progressive%2Cg_center%2Ch_675%2Cpg_1%2Cq_80%2Cw_1200%2F6f3e6d6a6de341905a1c94845bf4fe33.jpg&ext=emg0&_nc_oe=6fa74&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQHaAS_avZmvWCOM,Prediction unavailable,1.47x,https://gizmodo.com/ukraine-it-volunteer-hacker-army-response-to-russian-in-1848600395,320,FALSE,,,979,752,42,15,Gizmodo,Link,149,12,9,0,0,
2022-02-28T06:44:32,"Ukraine takes the resistance to cyberspace, assembling an “IT army” to hack sites from Russia and its allies, calls on tech leaders to get involved",,0,https://www.facebook.com/8062627951_10160562057107952,social.techcrunch.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQFLBwbyOpIYr5u4&url=https%3A%2F%2Ftechcrunch.com%2Fwp-content%2Fuploads%2F2022%2F02%2Fukraine-GettyImages-1238723942.jpg%3Fw%3D584&ext=emg0&_nc_oe=6fa7a&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQGJxj-VmI6Y40ux,Prediction unavailable,1.37x,https://social.techcrunch.com/2022/02/27/ukraine-takes-the-resistance-to-cyberspace-assembling-an-it-army-to-hack-sites-from-russia-and-its-allies-calls-on-tech-leaders-to-get-involved/,165,FALSE,,,480,370,42,13,TechCrunch,Link,44,8,1,1,1,
2022-02-28T18:59:02,Ukraine assembles an 'IT army' to attack Russia in cyberspace,"The volunteer 'army' is being organized through Telegram and already boasts over 220,000 members, Tech Crunch reported",17,https://www.facebook.com/20446254070_10159302806054071,businessinsider.com,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQHttQMTWfkrotK1&url=https%3A%2F%2Fi.insider.com%2F621ce93f101faf0019296b87%3Fwidth%3D1200%26format%3Djpeg&ext=emg0&_nc_oe=6fa86&_nc_sid=64c8fc&ccb=3-5&_nc_hash=AQG4sCIi2VWW85os,Prediction unavailable,0x,https://www.businessinsider.com/ukraine-assembles-it-army-to-attack-russia-in-cyberspace-2022-2,136,FALSE,,,263,204,7,4,Business Insider,Link,41,3,4,0,0,
