"","country","family","friends","leisure","politics","work","religion"
"1","Albania",1.0203081232493,1.73426573426573,2.01188811188811,3.29551820728291,1.19874037788663,2.15465360391882
"2","Andorra",1.11553784860558,1.53585657370518,1.42131474103586,2.94011976047904,1.52594810379242,2.96506986027944
"3","Argentina",1.09172482552343,1.54137587238285,1.80980980980981,2.80719280719281,1.46840521564694,2.39393939393939
"4","Armenia",1.11007338225484,1.73831775700935,1.98660415271266,2.78936742934051,1.46862483311081,1.82849426063471
"5","Australia",1.11037160288408,1.47961494903737,1.64635535307517,2.41183228029868,1.99539170506912,2.89772727272727
"6","Austria",1.1979293544458,1.45404747413268,1.63276492082826,2.51343101343101,1.67012195121951,2.6414978514426
"7","Azerbaijan",1.08635097493036,1.87520984890879,1.94568868980963,2.82970183486239,1.52191011235955,2.39826086956522
"8","Bangladesh",1.015,2.0685618729097,2.19175777964676,3.07632933104631,1.22259414225941,1.06766917293233
"9","Belarus",1.12386511024643,1.72261827608555,1.89429312581064,2.70411495754409,1.53650586701434,2.40065573770492
"10","Bolivia",1.20232333010649,2.36699029126214,1.78852698104035,2.78023598820059,1.25205611998065,1.59641472868217
"11","Bosnia & Herzegovina",1.07719094602438,1.57283807312826,1.68332364904126,3.11137026239067,1.44418604651163,1.84081632653061
"12","Brazil",1.16969353007946,1.79476975554292,1.82762557077626,2.69421965317919,1.43970420932878,1.73561253561254
"13","Bulgaria",1.13161290322581,1.59703417150226,1.79191128506197,2.80250164581962,1.45708712613784,2.28363154406892
"14","Canada",1.24664011946242,1.6112493777999,1.53608760577402,2.38725734196117,1.99427575908412,2.87506222000996
"15","Chile",1.079,1.70140280561122,1.42771084337349,2.94879518072289,1.67408906882591,2.41809045226131
"16","China",1.14531043593131,1.72961373390558,2.0779649818302,2.36324360252576,1.72374958595561,3.24825523429711
"17","Colombia",1.20526315789474,1.97039473684211,1.59210526315789,2.78289473684211,1.31776315789474,1.66776315789474
"18","Croatia",1.17071524966262,1.62913014160485,1.75440976933514,3.00205058099795,1.60997267759563,2.35528120713306
"19","Cyprus",1.08625877632899,1.60725075528701,1.82186234817814,2.81910569105691,1.64024390243902,1.85117227319062
"20","Czechia",1.14079822616408,1.63485016648169,1.75264623955432,2.96670428893905,1.65019651880966,3.20172910662824
"21","Denmark",1.13502235469449,1.55156950672646,1.65456182472989,2.44651442307692,1.9178247734139,3
"22","Ecuador",1.12604340567613,2.1465661641541,1.67057837384744,2.74599156118143,1.23224728487886,1.68030050083472
"23","Egypt",1.00333333333333,1.81818181818182,2.39444911690496,2.99573014517506,1.43896321070234,1.02666666666667
"24","Estonia",1.17350890782339,1.70515781370285,1.73515625,2.87171561051005,1.82030620467365,3.00936037441498
