country,population,region,users,family,friends,leisure,politics,work,religion,willingness,petition,boycott,demonstration,strikes,identity,marital,parents,children,household,education,income,weights
Albania,"3,088,385",Southern Europe,57,1.020308123,1.734265734,2.011888112,3.295518207,1.198740378,2.154653604,1.794561934,2.24535316,2.598046582,2.477688369,2.95971223,3.76119403,2.004888268,1.562543676,2.172942817,4.087351502,4.019512195,4.089326268,0.696864111
Andorra,"85,645",Southern Europe,6,1.115537849,1.535856574,1.421314741,2.94011976,1.525948104,2.96506986,1.448551449,1.645,2.574277168,2.054835494,2.34965035,4.748322148,2.844311377,1.108,1.211155378,2.500996016,4.856430708,5.302405498,0.9960159
Argentina,"45,864,941",South America,11,1.091724826,1.541375872,1.80980981,2.807192807,1.468405216,2.393939394,1.611392405,2.098532495,2.732899023,2.237894737,2.234527687,5.617571059,3.225324028,1.244267198,1.406147091,3.500501505,3.735792622,5.073452256,0.997009
Armenia,"3,011,609",Western Asia,16,1.110073382,1.738317757,1.986604153,2.789367429,1.468624833,1.828494261,1.870714286,2.296271186,2.593622795,2.314614344,2.585121602,4.534379671,2.818971276,1.594793057,1.790387183,4.262339419,5.14,4.008415147,0.6666667
Australia,"25,809,973",Oceania,717,1.110371603,1.479614949,1.646355353,2.41183228,1.995391705,2.897727273,1.553846154,1.218576196,2.07885906,2.016750419,2.193404136,5.068860451,2.52173913,1.068409344,1.786681716,2.480541455,5.655192197,5.085401039,0.551572
Austria,"8,884,864",Western Europe,3276,1.197929354,1.454047474,1.632764921,2.513431013,1.670121951,2.641497851,1.471684588,1.599877074,2.355781449,2.30387794,2.709256845,5.07493188,2.980428135,1.100487211,1.368615385,2.287897311,4.52862363,4.468501086,0.608272506
Azerbaijan,"10,282,283",Western Asia,19,1.086350975,1.875209849,1.94568869,2.829701835,1.521910112,2.39826087,1.774891775,2.669375,2.845482866,2.711683417,2.922397476,6.002814259,2.524207012,1.398885794,1.671118531,3.752921536,4.565,2.977356181,0.555555556
Belarus,"9,441,842",Eastern Europe,107,1.12386511,1.722618276,1.894293126,2.704114958,1.536505867,2.400655738,1.810302535,2.584740041,2.841496599,2.650610583,2.888211382,5.136160714,2.556921087,1.15683733,1.445307443,2.685751464,5.942469295,4.900593472,0.6459948
Bolivia,"11,758,869",South America,21,1.20232333,2.366990291,1.788526981,2.780235988,1.25205612,1.596414729,1.838902743,2.365548322,2.820418848,2.200785469,2.397655105,4.913069909,3.120698013,1.448493683,2.07696031,4.526902569,4.350315381,4.88639837,0.4837929
Bosnia and Herzegovina,"3,824,782",Southern Europe,11,1.077190946,1.572838073,1.683323649,3.111370262,1.444186047,1.840816327,1.508496732,1.866467066,2.300724638,2.261732852,2.507050889,4.880546075,2.957746479,1.294255569,1.401063201,2.928403756,4.259976526,4.489199492,0.5800464
Brazil,"213,445,417",South America,298,1.16969353,1.794769756,1.827625571,2.694219653,1.439704209,1.735612536,1.484197219,1.726341169,2.567917206,2.18489426,2.221217601,4.495726496,3.25368899,1.245743473,1.697502838,3.147559591,3.777970012,3.906947891,0.5675369
Bulgaria,"6,919,180",Eastern Europe,81,1.131612903,1.597034172,1.791911285,2.802501646,1.457087126,2.283631544,1.709150327,2.34947839,2.738567073,2.443870015,2.732612056,5.165297741,2.803732304,1.26413839,1.313863928,2.912524851,4.684719536,4.382778582,0.6418485
Canada,"37,943,231",North America,404,1.246640119,1.611249378,1.536087606,2.387257342,1.994275759,2.87506222,1.422847188,1.339223494,1.972374316,2.00273768,2.117471379,5.091049383,2.846441015,1.148581384,1.068690891,2.517172723,5.894420816,5.530283991,0.24888
