country,obey,public,protest,revolutionary,books
Australia,2,1,1,2,2
Australia,2,1,1,3,3
Australia,2,1,1,3,1
Australia,1,2,2,4,3
Australia,2,1,1,2,2
Australia,2,1,1,1,1
Australia,2,1,1,2,2
Australia,1,1,1,1,1
Australia,2,1,1,2,2
Australia,2,1,1,2,2
Australia,2,1,2,2,3
Australia,1,2,2,1,3
Australia,1,1,3,2,4
Australia,2,1,2,4,3
Australia,2,1,1,NA,NA
Australia,1,1,2,2,1
Australia,2,2,2,4,3
Australia,1,1,2,2,2
Australia,1,2,3,4,4
Australia,2,1,2,1,1
Australia,2,1,1,2,2
Australia,2,2,2,4,4
Australia,2,1,2,3,3
Australia,1,4,4,4,4
Australia,2,1,2,3,3
Australia,1,2,3,2,2
Australia,2,1,2,3,3
Australia,1,3,4,4,4
Australia,1,1,1,4,4
Australia,1,2,4,2,4
Australia,2,1,NA,2,NA
Australia,2,1,1,4,4
Australia,2,1,2,3,3
Australia,1,3,4,2,1
Australia,1,2,2,3,4
Australia,1,2,2,3,2
Australia,2,2,4,2,4
Australia,1,1,1,4,2
Australia,1,1,2,2,2
Australia,1,1,3,2,3
Australia,2,1,1,1,1
Australia,1,4,4,4,3
Australia,2,1,3,2,2
Australia,2,1,3,4,4
Australia,2,2,2,3,3
Australia,2,1,2,4,4
Australia,1,1,4,3,3
Australia,1,2,1,4,4
Australia,1,2,3,4,3
Australia,2,1,1,1,1
Australia,2,2,2,3,3
Australia,1,1,4,4,4
Australia,1,2,2,4,4
Australia,2,1,2,3,3
Australia,2,2,3,3,2
Australia,2,1,1,3,2
Australia,2,1,1,4,4
Australia,1,3,NA,4,2
Australia,1,2,4,3,3
Australia,1,2,2,3,3
Australia,1,4,1,1,1
Australia,2,1,1,1,1
Australia,2,1,2,4,3
Australia,1,4,4,4,4
Australia,2,1,1,2,2
Australia,1,2,4,4,2
Australia,2,2,NA,3,2
Australia,1,1,NA,4,2
Australia,2,2,2,4,4
Australia,2,1,1,3,3
Australia,1,2,NA,4,4
Australia,1,1,1,2,2
Australia,2,1,1,1,1
Australia,2,NA,NA,4,4
Australia,1,1,3,3,4
Australia,1,1,3,2,3
Australia,2,2,3,NA,NA
Australia,1,NA,1,4,4
Australia,2,1,2,3,3
Australia,1,1,1,1,1
Australia,1,2,3,1,NA
Australia,1,1,1,1,1
Australia,1,1,3,4,1
Australia,1,1,4,3,3
Australia,2,2,2,3,4
Australia,2,2,2,3,3
Australia,2,2,2,2,2
Australia,1,2,2,2,2
Australia,1,1,1,1,1
Australia,2,1,1,1,1
Australia,1,1,1,4,2
Australia,2,1,1,3,3
Australia,NA,3,2,3,4
Australia,2,1,1,2,2
Australia,1,2,2,3,3
Australia,2,1,1,1,1
Australia,1,2,2,4,4
Australia,2,1,2,2,2
Australia,1,1,4,4,4
Australia,2,2,2,3,3
Australia,2,1,1,2,2
Australia,2,1,3,2,1
Australia,1,2,3,3,2
Australia,2,1,1,1,1
Australia,1,2,4,4,NA
Australia,2,1,2,2,2
Australia,1,1,1,3,3
Australia,1,1,1,3,2
Australia,1,1,1,4,3
Australia,2,1,2,2,2
Australia,2,1,1,1,2
Australia,2,2,2,1,3
Australia,2,2,2,2,2
Australia,2,1,2,3,3
Australia,2,1,1,2,2
Australia,2,1,1,4,3
Australia,2,1,2,4,3
Australia,2,1,1,3,3
Australia,1,1,1,4,4
Australia,2,1,1,2,2
Australia,2,1,1,2,2
Australia,2,1,3,2,2
Australia,2,1,2,3,2
